127.0.0.1 - - [31/Mar/2020:15:51:51 +0900] "GET / HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [31/Mar/2020:15:51:52 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [31/Mar/2020:15:51:52 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:15:51:52 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:15:51:52 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:15:56:39 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [31/Mar/2020:15:56:40 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:15:56:40 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:15:56:40 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:15:56:40 +0900] "GET /favicon.ico HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [31/Mar/2020:15:56:43 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [31/Mar/2020:15:56:47 +0900] "POST /UserChat/UserRegisterCheckServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:03:05 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:03:07 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:03:12 +0900] "POST /UserChat/UserRegisterCheckServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:03:16 +0900] "POST /UserChat/UserRegisterCheckServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:15:08 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:20:42 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:20:43 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:20:44 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:21:18 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:21:56 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:21:56 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:21:56 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:21:56 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:22:05 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:22:06 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:28:13 +0900] "GET /UserChat/chat.jsp HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:28:13 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:28:54 +0900] "GET /UserChat/chat.jsp HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:30:27 +0900] "GET /UserChat/chat.jsp HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:30:27 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:30:27 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:16:30:27 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
