127.0.0.1 - - [08/Apr/2020:22:23:04 +0900] "GET / HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:05 +0900] "GET /UserChat/ HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:05 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:05 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:05 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:09 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3340
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:13 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:13 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:43 +0900] "GET /UserChat/chat.jsp?toID=qq HTTP/1.1" 200 5587
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:43 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:46 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:49 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:52 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:53 +0900] "POST /UserChat/chatSubmitServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:55 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:56 +0900] "POST /UserChat/chatSubmitServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:23:58 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:24:00 +0900] "POST /UserChat/chatSubmitServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:24:01 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:24:04 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:24:07 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
